FCP,product type,traffic,bandwidth,duration,night traffic,infra,price,description
Hiweb,سرویس,90,4096,4,0.0,ADSL,980000,سرویس زمرد 4 مگابیت 1 ماهه
Hiweb,سرویس,50,3072,4,0.0,ADSL,715000,سرویس زمرد 3 مگابیت 1 ماهه
Hiweb,سرویس,38,2048,4,0.0,ADSL,500000,سرویس زمرد 2 مگابیت 1 ماهه
Hiweb,سرویس,20,1024,4,0.0,ADSL,415000,سرویس زمرد 1 مگابیت 1 ماهه
Hiweb,سرویس,20,0,4,0.0,ADSL,250000,سرویس زمرد 512 کیلوبیت 1 ماهه
Hiweb,سرویس,720,16384,4,0.0,ADSL,16200000,سرویس زمرد 16 مگابیت 12 ماهه
Hiweb,سرویس,360,16384,4,0.0,ADSL,8550000,سرویس زمرد 16 مگابیت 6 ماهه
Hiweb,سرویس,180,16384,4,0.0,ADSL,4500000,سرویس زمرد 16 مگابیت 3 ماهه
Hiweb,سرویس,60,16384,4,0.0,ADSL,1500000,سرویس زمرد 16 مگابیت 1 ماهه
Hiweb,سرویس,480,8192,4,0.0,ADSL,10152000,سرویس زمرد 8 مگابیت 12 ماهه
Hiweb,سرویس,240,8192,4,0.0,ADSL,5358000,سرویس زمرد 8 مگابیت 6 ماهه
Hiweb,سرویس,120,8192,4,0.0,ADSL,2820000,سرویس زمرد 8 مگابیت 3 ماهه
Hiweb,سرویس,40,8192,4,0.0,ADSL,940000,سرویس زمرد 8 مگابیت 1 ماهه
Hiweb,سرویس,360,4096,4,0.0,ADSL,8100000,سرویس زمرد 4 مگابیت 12 ماهه
Hiweb,سرویس,180,4096,4,0.0,ADSL,4275000,سرویس زمرد 4 مگابیت 6 ماهه
Hiweb,سرویس,90,4096,4,0.0,ADSL,2250000,سرویس زمرد 4 مگابیت 3 ماهه
Hiweb,سرویس,30,4096,4,0.0,ADSL,750000,سرویس زمرد 4 مگابیت 1 ماهه
Hiweb,سرویس,20,3072,4,0.0,ADSL,570000,سرویس زمرد 3 مگابیت 1 ماهه
Hiweb,سرویس,15,2048,4,0.0,ADSL,400000,سرویس زمرد 2 مگابیت 1 ماهه
Hiweb,سرویس,10,1024,4,0.0,ADSL,330000,سرویس زمرد 1 مگابیت 1 ماهه
Hiweb,سرویس,16,16384,4,0.0,ADSL,800000,سرویس برنز 16 مگابیت 1 ماهه
Hiweb,سرویس,10,8192,4,0.0,ADSL,500000,سرویس برنز 8 مگابیت 1 ماهه
Hiweb,سرویس,8,4096,4,0.0,ADSL,400000,سرویس برنز 4 مگابیت 1 ماهه
Hiweb,سرویس,5,3072,4,0.0,ADSL,350000,سرویس برنز 3 مگابیت 1 ماهه
Hiweb,سرویس,3,2048,4,0.0,ADSL,250000,سرویس برنز 2 مگابیت 1 ماهه
Hiweb,سرویس,2,1024,4,0.0,ADSL,200000,سرویس برنز 1 مگابیت 1 ماهه
Hiweb,سرویس,1,0,4,0.0,ADSL,125000,سرویس برنز 512 کیلوبیت 1 ماهه
Hiweb,سرویس,5400,16384,5,0.0,ADSL,26250000,سرویس 16 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک
Hiweb,سرویس,2700,16384,5,0.0,ADSL,13687500,سرویس 16 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک
Hiweb,سرویس,3000,8192,5,0.0,ADSL,18690000,سرویس 8 مگابیت بر ثانیه 12 ماهه به همراه یک آی پی استاتیک
Hiweb,سرویس,1500,8192,5,0.0,ADSL,9697500,سرویس 8 مگابیت بر ثانیه 6 ماهه به همراه یک آی پی استاتیک
Hiweb,خدمات,0,0,0,0.0,ADSL,300000,خدمات پشتیبانی حضوری
TCI,سرویس,120,16384,12,,,750000,"۱۲۰ گیگابایت*استاندارد کم حجم ۱۲۰ گیگ ماهانه* قرارداد ۱۲ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۷۵۰,۰۰۰ ریال"
TCI,سرویس,80,16384,12,,,600000,"۸۰ گیگابایت*استاندارد کم حجم ۸۰ گیگ ماهانه* قرارداد ۱۲ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۶۰۰,۰۰۰ ریال"
TCI,سرویس,50,8192,12,,,420000,"۵۰ گیگابایت*استاندارد کم حجم ۵۰ گیگ ماهانه* قرارداد ۱۲ ماهه* ۸Mb پس‌پرداخت*۸ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۴۲۰,۰۰۰ ریال"
TCI,سرویس,40,4096,12,,,320000,"۴۰ گیگابایت*استاندارد کم حجم ۴۰ گیگ ماهانه* قرارداد ۱۲ ماهه* ۴Mb پس‌پرداخت*۴ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۳۲۰,۰۰۰ ریال"
TCI,سرویس,35,16384,12,,,435000,"۳۵ گیگابایت*استاندارد کم حجم ۳۵ گیگ ماهانه* قرارداد ۱۲ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۴۳۵,۰۰۰ ریال"
TCI,سرویس,22,3072,12,,,350000,"۲۲ گیگابایت*استاندارد کم حجم ۲۲ گیگ ماهانه* قرارداد ۱۲ ماهه* ۳Mb پس‌پرداخت*۳ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۳۵۰,۰۰۰ ریال"
TCI,سرویس,18,8192,12,,,280000,"۱۸ گیگابایت*استاندارد کم حجم ۱۸ گیگ ماهانه* قرارداد ۱۲ ماهه* ۸Mb پس‌پرداخت*۸ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۲۸۰,۰۰۰ ریال"
TCI,سرویس,15,2048,12,,,250000,"۱۵ گیگابایت*استاندارد کم حجم ۱۵ گیگ ماهانه* قرارداد ۱۲ ماهه* ۲Mb پس‌پرداخت*۲ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۲۵۰,۰۰۰ ریال"
TCI,سرویس,12,4096,12,,,220000,"۱۲ گیگابایت*استاندارد کم حجم ۱۲ گیگ ماهانه* قرارداد ۱۲ ماهه* ۴Mb پس‌پرداخت*۴ مگابیت در ثانیه * دوازده ماهه*خرید*هر ماه ۲۲۰,۰۰۰ ریال"
TCI,سرویس,120,16384,6,,,750000,"۱۲۰ گیگابایت*استاندارد کم حجم ۱۲۰ گیگ ماهانه* قرارداد ۶ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۷۵۰,۰۰۰ ریال"
TCI,سرویس,80,16384,6,,,600000,"۸۰ گیگابایت*استاندارد کم حجم ۸۰ گیگ ماهانه* قرارداد ۶ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۶۰۰,۰۰۰ ریال"
TCI,سرویس,50,8192,6,,,420000,"۵۰ گیگابایت*استاندارد کم حجم ۵۰ گیگ ماهانه* قرارداد ۶ ماهه* ۸Mb پس‌پرداخت*۸ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۴۲۰,۰۰۰ ریال"
TCI,سرویس,40,4096,6,,,320000,"۴۰ گیگابایت*استاندارد کم حجم ۴۰ گیگ ماهانه* قرارداد ۶ ماهه* ۴Mb پس‌پرداخت*۴ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۳۲۰,۰۰۰ ریال"
TCI,سرویس,35,16384,6,,,435000,"۳۵ گیگابایت*استاندارد کم حجم ۳۵ گیگ ماهانه* قرارداد ۶ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۴۳۵,۰۰۰ ریال"
TCI,سرویس,22,3072,6,,,350000,"۲۲ گیگابایت*استاندارد کم حجم ۲۲ گیگ ماهانه* قرارداد ۶ ماهه* ۳Mb پس‌پرداخت*۳ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۳۵۰,۰۰۰ ریال"
TCI,سرویس,18,8192,6,,,280000,"۱۸ گیگابایت*استاندارد کم حجم ۱۸ گیگ ماهانه* قرارداد ۶ ماهه* ۸Mb پس‌پرداخت*۸ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۲۸۰,۰۰۰ ریال"
TCI,سرویس,15,2048,6,,,250000,"۱۵ گیگابایت*استاندارد کم حجم ۱۵ گیگ ماهانه* قرارداد ۶ ماهه* ۲Mb پس‌پرداخت*۲ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۲۵۰,۰۰۰ ریال"
TCI,سرویس,12,4096,6,,,220000,"۱۲ گیگابایت*استاندارد کم حجم ۱۲ گیگ ماهانه* قرارداد ۶ ماهه* ۴Mb پس‌پرداخت*۴ مگابیت در ثانیه * شش ماهه*خرید*هر ماه ۲۲۰,۰۰۰ ریال"
TCI,سرویس,120,16384,3,,,750000,"۱۲۰ گیگابایت*استاندارد کم حجم ۱۲۰ گیگ ماهانه* قرارداد ۳ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۷۵۰,۰۰۰ ریال"
TCI,سرویس,80,16384,3,,,600000,"۸۰ گیگابایت*استاندارد کم حجم ۸۰ گیگ ماهانه* قرارداد ۳ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۶۰۰,۰۰۰ ریال"
TCI,سرویس,40,4096,3,,,320000,"۴۰ گیگابایت*استاندارد کم حجم ۴۰ گیگ ماهانه* قرارداد ۳ ماهه* ۴Mb پس‌پرداخت*۴ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۳۲۰,۰۰۰ ریال"
TCI,سرویس,35,16384,3,,,435000,"۳۵ گیگابایت*استاندارد کم حجم ۳۵ گیگ ماهانه* قرارداد ۳ ماهه* ۱۶Mb پس‌پرداخت*۱۶ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۴۳۵,۰۰۰ ریال"
TCI,سرویس,22,3072,3,,,350000,"۲۲ گیگابایت*استاندارد کم حجم ۲۲ گیگ ماهانه* قرارداد ۳ ماهه* ۳Mb پس‌پرداخت*۳ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۳۵۰,۰۰۰ ریال"
TCI,سرویس,18,8192,3,,,280000,"۱۸ گیگابایت*استاندارد کم حجم ۱۸ گیگ ماهانه* قرارداد ۳ ماهه* ۸Mb پس‌پرداخت*۸ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۲۸۰,۰۰۰ ریال"
TCI,سرویس,15,2048,3,,,250000,"۱۵ گیگابایت*استاندارد کم حجم ۱۵ گیگ ماهانه* قرارداد ۳ ماهه* ۲Mb پس‌پرداخت*۲ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۲۵۰,۰۰۰ ریال"
TCI,سرویس,12,4096,3,,,220000,"۱۲ گیگابایت*استاندارد کم حجم ۱۲ گیگ ماهانه* قرارداد ۳ ماهه* ۴Mb پس‌پرداخت*۴ مگابیت در ثانیه * سه ماهه*خرید*هر ماه ۲۲۰,۰۰۰ ریال"
