,سرعت سرویس (Kbps),مجموع آستانه مصرف منصفانه (GB),ترافیک معادل بین الملل (GB),قیمت سرویس (ریال)
0,512,20,10,"200,000"
1,1024,40,20,"330,000"
2,2048,76,38,"400,000"
3,3072,100,50,"570,000"
4,4096,180,90,"750,000"
5,8192,400,200,"940,000"
6,16384,800,400,"1,500,000"
