service name,traffic,price
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 12 ماهه</div>]","[<div class=""package-body-title"">
            1080 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 2160 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">10,584,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 6 ماهه</div>]","[<div class=""package-body-title"">
            540 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 1080 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">5,586,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 3 ماهه</div>]","[<div class=""package-body-title"">
            270 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 540 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">2,940,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 4 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            90 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 180 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">980,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 3 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            50 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 100 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">715,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 2 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            38 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 76 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">500,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 1 مگابیت 1 ماهه</div>]","[<div class=""package-body-title"">
            20 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 40 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">415,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 512 کیلوبیت 1 ماهه</div>]","[<div class=""package-body-title"">
            20 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 40 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">250,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 16 مگابیت 12 ماهه</div>]","[<div class=""package-body-title"">
            720 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 1440 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">16,200,000 ریال</div>]"
"[<div class=""package-title"">سرویس زمرد 16 مگابیت 6 ماهه</div>]","[<div class=""package-body-title"">
            360 گیگابایت  ترافیک بین الملل
            <br/>
<small>(معادل 720 گیگابایت ترافیک داخلی)</small>
</div>]","[<div class=""package-body-price fanum"">8,550,000 ریال</div>]"
