,سرعت سرویس (Kbps),مجموع آستانه مصرف منصفانه (GB),ترافیک معادل بین الملل (GB),قیمت سرویس (ریال)
0,512,2,1,"125,000"
1,1024,4,2,"200,000"
2,2048,8,3,"250,000"
3,3072,10,5,"350,000"
4,4096,16,8,"400,000"
5,8192,20,10,"500,000"
6,16384,32,16,"800,000"
