FCP,product type,traffic,bandwidth,duration,night traffic,infra,price,description
Hiweb,ترافیک,1,0,0,0,ADSL,20000,
Hiweb,ترافیک,3,0,0,0,ADSL,60000,
Hiweb,ترافیک,5,0,0,0,ADSL,100000,
Hiweb,ترافیک,10,0,0,0,ADSL,200000,
Hiweb,سرویس,4800,16384,4,0,ADSL,20250000,
Hiweb,سرویس,2400,16384,4,0,ADSL,10687500,
Hiweb,سرویس,1200,16384,4,0,ADSL,5625000,
Hiweb,سرویس,400,16384,4,0,ADSL,1875000,
Hiweb,سرویس,2400,8192,4,0,ADSL,12690000,
Hiweb,سرویس,1200,8192,4,0,ADSL,6697500,
Hiweb,سرویس,600,8192,4,0,ADSL,3525000,
Hiweb,سرویس,200,8192,4,0,ADSL,1175000,
Hiweb,سرویس,1080,4096,4,0,ADSL,10584000,
Hiweb,سرویس,540,4096,4,0,ADSL,5586000,
Hiweb,سرویس,270,4096,4,0,ADSL,2940000,
Hiweb,سرویس,90,4096,4,0,ADSL,980000,
Hiweb,سرویس,50,3072,4,0,ADSL,715000,
Hiweb,سرویس,38,2048,4,0,ADSL,500000,
Hiweb,سرویس,20,1024,4,0,ADSL,415000,
Hiweb,سرویس,20,0,4,0,ADSL,250000,
Hiweb,سرویس,720,16384,4,0,ADSL,16200000,
Hiweb,سرویس,360,16384,4,0,ADSL,8550000,
Hiweb,سرویس,180,16384,4,0,ADSL,4500000,
Hiweb,سرویس,60,16384,4,0,ADSL,1500000,
Hiweb,سرویس,480,8192,4,0,ADSL,10152000,
Hiweb,سرویس,240,8192,4,0,ADSL,5358000,
Hiweb,سرویس,120,8192,4,0,ADSL,2820000,
Hiweb,سرویس,40,8192,4,0,ADSL,940000,
Hiweb,سرویس,360,4096,4,0,ADSL,8100000,
Hiweb,سرویس,180,4096,4,0,ADSL,4275000,
Hiweb,سرویس,90,4096,4,0,ADSL,2250000,
Hiweb,سرویس,30,4096,4,0,ADSL,750000,
Hiweb,سرویس,20,3072,4,0,ADSL,570000,
Hiweb,سرویس,15,2048,4,0,ADSL,400000,
Hiweb,سرویس,10,1024,4,0,ADSL,330000,
Hiweb,سرویس,16,16384,4,0,ADSL,800000,
Hiweb,سرویس,10,8192,4,0,ADSL,500000,
Hiweb,سرویس,8,4096,4,0,ADSL,400000,
Hiweb,سرویس,5,3072,4,0,ADSL,350000,
Hiweb,سرویس,3,2048,4,0,ADSL,250000,
Hiweb,سرویس,2,1024,4,0,ADSL,200000,
Hiweb,سرویس,1,0,4,0,ADSL,125000,
Hiweb,سرویس,5400,16384,5,0,ADSL,26250000,
Hiweb,سرویس,2700,16384,5,0,ADSL,13687500,
Hiweb,سرویس,3000,8192,5,0,ADSL,18690000,
Hiweb,سرویس,1500,8192,5,0,ADSL,9697500,
Hiweb,خدمات,0,0,0,0,ADSL,300000,
