FCP,product type,traffic,bandwidth,duration,price,description
TCI,سرویس,120,16,12,750000,
TCI,سرویس,80,16,12,600000,
TCI,سرویس,50,8,12,420000,
TCI,سرویس,40,4,12,320000,
TCI,سرویس,35,16,12,435000,
TCI,سرویس,22,3,12,350000,
TCI,سرویس,18,8,12,280000,
TCI,سرویس,15,2,12,250000,
TCI,سرویس,12,4,12,220000,
TCI,سرویس,120,16,6,750000,
TCI,سرویس,80,16,6,600000,
TCI,سرویس,50,8,6,420000,
TCI,سرویس,40,4,6,320000,
TCI,سرویس,35,16,6,435000,
TCI,سرویس,22,3,6,350000,
TCI,سرویس,18,8,6,280000,
TCI,سرویس,15,2,6,250000,
TCI,سرویس,12,4,6,220000,
TCI,سرویس,120,16,3,750000,
TCI,سرویس,80,16,3,600000,
TCI,سرویس,40,4,3,320000,
TCI,سرویس,35,16,3,435000,
TCI,سرویس,22,3,3,350000,
TCI,سرویس,18,8,3,280000,
TCI,سرویس,15,2,3,250000,
TCI,سرویس,12,4,3,220000,
